rank,title,score,num_of_votes,director,release_year,country,theme,summary,movie_url
143,傲慢与偏见,8.5,320151, 乔·怀特 Joe Wright,2005,法国 英国 美国,剧情 爱情,爱是摈弃傲慢与偏见之后的曙光。,https://movie.douban.com/subject/1418200/
144,海边的曼彻斯特,8.6,207294, 肯尼斯·罗纳根 Kenneth Lonergan,2016,美国,剧情 家庭,我们都有权利不与自己的过去和解。,https://movie.douban.com/subject/25980443/
145,小森林 冬春篇,8.9,124912, 森淳一 Junichi Mori,2015,日本,剧情,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,https://movie.douban.com/subject/25814707/
146,哈利·波特与死亡圣器(下),8.7,289305, 大卫·叶茨 David Yates,2011,美国 英国,剧情 悬疑 奇幻 冒险,10年的完美句点。,https://movie.douban.com/subject/3011235/
147,萤火之森,8.7,168413, 大森贵弘 Takahiro Omori,2011,日本,剧情 爱情 动画 奇幻,触不到的恋人。,https://movie.douban.com/subject/5989818/
148,教父3,8.8,138383, 弗朗西斯·福特·科波拉 Francis Ford Coppola,1990,美国,剧情 犯罪,任何信念的力量，都无法改变命运。,https://movie.douban.com/subject/1294240/
149,纵横四海,8.7,155965, 吴宇森 John Woo,1991,香港,剧情 喜剧 动作 犯罪,香港浪漫主义警匪动作片的巅峰之作。,https://movie.douban.com/subject/1295409/
150,完美的世界,9.0,85976, 克林特·伊斯特伍德 Clint Eastwood,1993,美国,剧情 犯罪,坏人的好总是比好人的好来得更感人。,https://movie.douban.com/subject/1300992/
151,荒蛮故事,8.8,151085, 达米安·斯兹弗隆 Dami,2014,阿根廷 西班牙,剧情 喜剧 犯罪,始于荒诞，止于更荒诞。,https://movie.douban.com/subject/24750126/
152,魂断蓝桥,8.8,135250, Mervyn LeRoy,1940,美国,剧情 战争 爱情,中国式内在的美国电影。,https://movie.douban.com/subject/1293964/
153,二十二,8.8,104989, 郭柯 Ke Guo,2015,中国大陆,纪录片,有一些东西不应该被遗忘。,https://movie.douban.com/subject/26430107/
154,猜火车,8.5,258874, 丹尼·博伊尔 Danny Boyle,1996,英国,犯罪 剧情,不可猜的青春迷笛。 ,https://movie.douban.com/subject/1292528/
155,穿越时空的少女,8.6,194253, 细田守 Mamoru Hosoda,2006,日本,剧情 爱情 科幻 动画,爱上未来的你。 ,https://movie.douban.com/subject/1937946/
156,玩具总动员3,8.8,201217, 李·昂克里奇 Lee Unkrich,2010,美国,喜剧 动画 奇幻 冒险,跨度十五年的欢乐与泪水。,https://movie.douban.com/subject/1858711/
157,花样年华,8.5,260186, 王家卫 Kar Wai Wong,2000,香港 法国,剧情 爱情,偷情本没有这样美。,https://movie.douban.com/subject/1291557/
158,雨中曲,9.0,97255, Stanley Donen / Gene Kelly,1952,美国,喜剧 歌舞 爱情,骨灰级歌舞片。,https://movie.douban.com/subject/1293460/
159,心迷宫,8.6,182005, 忻钰坤 Yukun Xin,2014,中国大陆,剧情 犯罪 悬疑,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,https://movie.douban.com/subject/25917973/
160,唐伯虎点秋香,8.4,350528, 李力持 Lik-Chi Lee,1993,香港,喜剧 爱情 古装,华太师是黄霑，吴镇宇四大才子之一。,https://movie.douban.com/subject/1306249/
161,时空恋旅人,8.6,213746, 理查德·柯蒂斯 Richard Curtis,2013,英国,剧情 爱情 奇幻,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,https://movie.douban.com/subject/10577869/
162,超能陆战队,8.6,391744, 唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams,2014,美国,喜剧 动作 科幻 动画 冒险,Balalala~~~,https://movie.douban.com/subject/11026735/
